taxon,state,timing,form
sanguinaria_canadensis,foliage,early,herb
lindera_benzoin,flowering,early,shrub
cercis_canadensis,flowering,early,tree
acer_rubrum,flowering,early,tree
erythronium_americanum,foliage,early,herb
ulmus_americana,flowering,early,tree
liriodendron_tulipifera,foliage,early,tree
sanguinaria_canadensis,flowering,early,herb
lindera_benzoin,foliage,early,shrub
syringa_vulgaris,foliage,early,shrub
cornus_florida,foliage,early,tree
erythronium_americanum,flowering,early,herb
cornus_florida,flowering,early,tree
acer_saccharinum,flowering,early,tree
sambucus_canadensis,foliage,mid,shrub
acer_rubrum,foliage,early,tree
prunus_serotina,foliage,early,tree
cercis_canadensis,foliage,mid,tree
rhododendron_periclymenoides,foliage,mid,shrub
carya_alba,foliage,mid,tree
acer_saccharinum,foliage,mid,tree
fraxinus_americana,flowering,mid,tree
tilia_americana,foliage,mid,tree
quercus_alba,foliage,mid,tree
fraxinus_americana,foliage,mid,tree
ulmus_americana,foliage,mid,tree
quercus_alba,flowering,mid,tree
liriodendron_tulipifera,flowering,late,tree
rhododendron_periclymenoides,flowering,late,shrub
prunus_serotina,flowering,late,tree
robinia_pseudoacacia,foliage,late,tree
syringa_vulgaris,flowering,late,shrub
carya_alba,flowering,late,tree
robinia_pseudoacacia,flowering,late,tree
sambucus_canadensis,flowering,late,shrub
tilia_americana,flowering,late,tree
